rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at
1,Excelente,100,Ubiminds,Senior Full Stack Software Engineer – .NET (C#) / React - (516),<https://himalayas.app/companies/ubiminds/jobs/senior-full-stack-software-engineer-net-c-react-516>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,reactjs; microservices; kubernetes; architecture; platform,2026-05-07T17:12:53.000Z
2,Excelente,100,CI&T,"[Job 29234] Senior Front End (React/Typescript) Developer, Brazil",<https://himalayas.app/companies/ci-t/jobs/job-29234-senior-front-end-react-typescript-developer-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,typescript; reactjs; node; graphql; architecture; api,2026-05-08T11:53:24.000Z
3,Excelente,100,"ImmunityBio, Inc.","Senior Software Engineer, AI",<https://himalayas.app/companies/immunitybio-inc/jobs/senior-software-engineer-ai>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Senior,typescript; docker; architecture; platform; backend; api; go; python,2026-05-07T12:28:04.000Z
4,Excelente,100,Digital Forms,Solution Architect,<https://himalayas.app/companies/digitalforms/jobs/solution-architect>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,aws; microservices; gcp; azure; architecture; cloud; platform; api; go,2026-05-07T15:26:22.000Z
5,Excelente,100,CI&T,"[Job 29244] Senior Developer Java, Brazil",<https://himalayas.app/companies/ci-t/jobs/job-29244-senior-developer-java-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; redis; microservices; kubernetes; docker; cloud; platform; go; java,2026-05-08T08:37:07.000Z
6,Excelente,100,Walter,Full-Stack Engineering Lead,<https://himalayas.app/companies/walter/jobs/full-stack-engineering-lead-5305391738>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Lead,aws; typescript; reactjs; node; gcp; distributed systems; architecture; cloud; backend; api; python; java,2026-05-08T06:26:25.000Z
7,Excelente,100,Ensemble Health Partners,"Senior Engineer, Software",<https://himalayas.app/companies/ensemble-health-partners/jobs/senior-engineer-software-1462458833>,himalayas,"Remote / Argentina, Australia, Austria, Bangladesh, Belgium, Brazil, Canada, Chile, China, Colombia, Czechia, Denmark, Egypt, Finland, France, Germany, Ghana, Greece, India, Indonesia, Ireland, Israel, Italy, Japan, Kenya, Malaysia, Mexico, Netherlands, New Zealand, Nigeria, Norway, Pakistan, Peru, Philippines, Poland, Portugal, Russian Federation, Saudi Arabia, Singapore, South Africa, South Korea, Spain, Sri Lanka, Sweden, Switzerland, Taiwan, Thailand, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States, Vietnam",Brazil-friendly remote,brazil_friendly,Senior,aws; javascript; architecture; cloud; backend; api; go; java,2026-05-08T09:46:58.000Z
8,Excelente,100,Able,"Senior Software & Data Engineer, JavaScript",<https://himalayas.app/companies/able-co/jobs/senior-software-data-engineer-javascript>,himalayas,"Remote / Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela",Brazil-friendly remote,brazil_friendly,Senior,aws; terraform; javascript; typescript; nestjs; reactjs; postgres; node; gcp; azure; graphql; architecture; cloud; backend; api; java,2026-05-07T19:59:12.000Z
9,Excelente,100,Altais Health Solutions,Senior Systems Architect,<https://himalayas.app/companies/altais-health-solutions/jobs/senior-systems-architect-902224059>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,aws; terraform; azure; architecture; cloud; platform; api; go,2026-05-07T20:31:05.000Z
10,Excelente,100,Chainlink Labs,"Senior Site Reliability Engineer, Observability",<https://himalayas.app/companies/chainlink-labs/jobs/senior-site-reliability-engineer-observability>,himalayas,"Remote / Argentina, Brazil, Canada, Colombia, Mexico, United States",Brazil-friendly remote,brazil_friendly,Senior,aws; terraform; kubernetes; distributed systems; platform; api; go; python; java,2026-05-08T04:01:26.000Z
11,Excelente,100,SecurityScorecard,Staff Data Engineer,<https://himalayas.app/companies/securityscorecard/jobs/staff-data-engineer-7092836721>,himalayas,"Remote / Antigua and Barbuda, Argentina, Bahamas, Barbados, Belize, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominica, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Jamaica, Mexico, Nicaragua, Panama, Paraguay, Peru, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago, Uruguay, Venezuela",Brazil-friendly remote,brazil_friendly,Staff,aws; terraform; postgres; redis; docker; distributed systems; architecture; platform; api; go; python,2026-05-08T04:38:14.000Z
12,Excelente,100,Truelogic,Senior Back-end Engineer (Ruby on Rails) - Technology,<https://himalayas.app/companies/truelogic-io/jobs/senior-back-end-engineer-ruby-on-rails-technology>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,microservices; architecture; backend; api,2026-05-07T14:13:47.000Z
