rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
1,Excelente,100,Tractian,Senior Frontend Software Engineer,<https://himalayas.app/companies/tractian/jobs/senior-frontend-software-engineer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,typescript; reactjs; architecture; platform; backend; frontend; jest,2026-05-21T20:36:19.000Z,senior
2,Excelente,100,NFON AG,Senior Python Engineer - Voice AI Platform (all genders),<https://himalayas.app/companies/nfon-ag/jobs/senior-python-engineer-voice-ai-platform-all-genders>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Senior,typescript; docker; microservices; scrum; kubernetes; cloud; platform; backend; api; python,2026-05-22T07:42:47.000Z,senior
3,Excelente,100,Sezzle,Senior Software Engineer (Brazil),<https://himalayas.app/companies/sezzle/jobs/senior-software-engineer-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; typescript; reactjs; react-native; postgres; kubernetes; architecture; cloud; platform; backend; frontend; api; go; python; java,2026-05-22T07:32:45.000Z,senior
4,Excelente,100,Fusemachines,Senior Software Engineer (Machine Learning ),<https://himalayas.app/companies/fusemachines/jobs/senior-software-engineer-machine-learning-979641740>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; typescript; docker; microservices; architecture; api; go; python; java,2026-05-22T02:58:01.000Z,senior
5,Excelente,100,Sporty Group,Backend Software Engineering Team Lead,<https://himalayas.app/companies/sporty-group/jobs/backend-software-engineering-team-lead>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Lead,aws; javascript; typescript; node; redis; microservices; kubernetes; architecture; cloud; backend; api; go; python; java,2026-05-22T03:21:58.000Z,senior
6,Excelente,100,CI&T,"[Job - 29467] Senior Backend Developer, Brazil",<https://himalayas.app/companies/ci-t/jobs/job-29467-senior-backend-developer-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,typescript; microservices; azure; platform; backend; api; go; java,2026-05-22T06:17:48.000Z,senior
7,Excelente,100,Sigma Software,Middle/Senior Front-End Developer (React/TypeScript),<https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/middle-senior-front-end-developer-react-typescript>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; javascript; typescript; reactjs; html-css; graphql; architecture; platform; backend; frontend; api; python; java,2026-05-22T10:23:12.000Z,senior
8,Excelente,100,Consensys,Senior Software Engineer - MetaMask Card,<https://himalayas.app/companies/consensys-io/jobs/senior-software-engineer-metamask-card>,himalayas,"Remote / Afghanistan, Albania, Algeria, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Austria, Azerbaijan, Bahamas, Bahrain, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cameroon, Cayman Islands, Central African Republic, Chad, Chile, Colombia, Comoros, Congo, Congo, The Democratic Republic of the, Cook Islands, Costa Rica, Croatia, Cuba, Curaçao, Cyprus, Czechia, Côte d'Ivoire, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Finland, France, French Guiana, French Southern Territories, Gabon, Gambia, Georgia, Germany, Ghana, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, Hungary, Iceland, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Jamaica, Jersey, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Madagascar, Malawi, Mali, Malta, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Moldova, Monaco, Montenegro, Montserrat, Morocco, Mozambique, Namibia, Netherlands, Nicaragua, Niger, Nigeria, North Macedonia, Norway, Oman, Palestine, State of, Panama, Paraguay, Peru, Poland, Portugal, Puerto Rico, Qatar, Romania, Russian Federation, Rwanda, Réunion, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Sint Maarten (Dutch part), Slovakia, Slovenia, Somalia, South Africa, South Georgia and the South Sandwich Islands, South Sudan, Spain, Sudan, Suriname, Svalbard and Jan Mayen, Sweden, Switzerland, Syrian Arab Republic, Tajikistan, Tanzania, Togo, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Uganda, Ukraine, United Arab Emirates, United Kingdom, Uruguay, Uzbekistan, Venezuela, Virgin Islands, British, Virgin Islands, U.S., Western Sahara, Yemen, Zambia, Zimbabwe, Åland Islands",Brazil-friendly remote,brazil_friendly,Senior,javascript; typescript; reactjs; react-native; express; scrum; platform; backend; frontend; api; go; java,2026-05-21T20:32:34.000Z,senior
9,Excelente,100,Sigma Software,Senior Product Engineer,<https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/senior-product-engineer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; javascript; typescript; nestjs; reactjs; docker; microservices; gcp; azure; kubernetes; architecture; cloud; platform; backend; frontend; api; java,2026-05-21T20:31:28.000Z,senior
10,Excelente,100,Swile,"Senior Software Engineer, Backend",<https://himalayas.app/companies/swile/jobs/senior-software-engineer-backend>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,typescript; redis; distributed systems; architecture; platform; backend; api; go; java,2026-05-21T20:36:06.000Z,senior
