rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at
1,Excelente,100,Sezzle,Software Engineer II (Brazil),<https://himalayas.app/companies/sezzle/jobs/software-engineer-ii-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,aws; typescript; reactjs; postgres; kubernetes; architecture; cloud; platform; backend; api; go; python,2026-05-02T20:31:19.000Z
2,Excelente,100,Kairogen,Desenvolvedor(a) Full Stack Pleno - Node.js,<https://programathor.com.br/jobs/33478-desenvolvedor-a-full-stack-pleno-node-js>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,typescript; nestjs; postgres; node; go,
3,Excelente,100,Penn Foster,Software Engineer,<https://himalayas.app/companies/penn-foster/jobs/software-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,reactjs; microservices; azure; architecture; cloud; platform; backend; api; go,2026-04-27T06:26:18.000Z
4,Excelente,100,"ImmunityBio, Inc.","Software Engineer, AI",<https://himalayas.app/companies/immunitybio-inc/jobs/software-engineer-ai>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,typescript; docker; architecture; platform; backend; api; go; python,2026-05-07T12:18:59.000Z
5,Excelente,100,GigaBrands,AI Full Stack Engineer - KS001,<https://himalayas.app/companies/gigabrands/jobs/ai-full-stack-engineer-ks001-7666447392>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,typescript; reactjs; postgres; node; api,2026-05-01T20:36:07.000Z
6,Excelente,98,Econodata,Full Stack Developer Pleno,<https://himalayas.app/companies/econodata/jobs/full-stack-developer-pleno>,himalayas,"Remote / Brazil, Portugal",Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,aws; node; gcp; azure; architecture; cloud; backend; go,2026-04-29T17:55:58.000Z
7,Excelente,100,CESAR,Mid-Level Software Engineer (Angular),<https://himalayas.app/companies/cesar/jobs/mid-level-software-engineer-angular>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,typescript; reactjs; docker; api; java,2026-04-29T00:48:17.000Z
8,Excelente,100,Praxis Precision Medicines,"Software Engineer, Consultant",<https://himalayas.app/companies/praxis-precision-medicines/jobs/software-engineer-consultant>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,aws; typescript; reactjs; distributed systems; architecture; cloud; platform; backend; api; go,2026-04-29T22:35:19.000Z
9,Excelente,100,Talkover AI,Desenvolvedor(a) PHP Laravel + Python | Pleno,<https://programathor.com.br/jobs/33467-desenvolvedor-a-php-laravel-python-pleno>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,api; python,
10,Excelente,100,Enghouse Systems,DevOps Engineer (Pleno),<https://himalayas.app/companies/enghouse-systems/jobs/devops-engineer-pleno>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,aws; terraform; javascript; postgres; gcp; azure; kubernetes; architecture; cloud; platform; go; python; java,2026-05-04T19:05:41.000Z
11,Excelente,100,Motorola Solutions,Software Engineer Mid-Level (.NET & Java) - Interfaces,<https://himalayas.app/companies/motorola-solutions/jobs/software-engineer-mid-level-net-java-interfaces>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,microservices; azure; kubernetes; architecture; cloud; platform; backend; api; go; java,2026-04-28T19:57:28.000Z
12,Excelente,100,Deel,"Backend Engineer, Node.js/Typescript",<https://himalayas.app/companies/deel/jobs/backend-engineer-node-js-typescript>,himalayas,"Remote / Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Mexico, Paraguay, Peru, United States, Uruguay",Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,javascript; typescript; postgres; node; platform; backend; java,2026-04-25T04:52:15.000Z
13,Excelente,100,Ciena,Software Developer - Professional Services Inventory,<https://himalayas.app/companies/ciena/jobs/software-developer-professional-services-inventory>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,aws; javascript; typescript; postgres; node; gcp; azure; kubernetes; docker; cloud; platform; backend; api; go; java,2026-05-05T20:31:20.000Z
14,Excelente,100,Talent Voyager,AI Full Stack Engineer,<https://himalayas.app/companies/talent-voyager/jobs/ai-full-stack-engineer-2039686989>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,typescript; reactjs; postgres; node; api,2026-05-01T06:13:44.000Z
15,Excelente,100,Experian,Desenvolvedor Python Pleno - Vaga afirmativa para pessoas pretas e pardas,<https://himalayas.app/companies/experian/jobs/desenvolvedor-python-pleno-vaga-afirmativa-para-pessoas-pretas-e-pardas>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,aws; terraform; postgres; architecture; cloud; backend; api; go; python,2026-05-01T22:02:38.000Z
16,Excelente,100,Known,Software Engineer,<https://himalayas.app/companies/known/jobs/software-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,aws; terraform; typescript; reactjs; postgres; kubernetes; docker; distributed systems; architecture; cloud; platform; backend; api; go; python,2026-05-04T08:00:49.000Z
17,Excelente,100,Siena AI,Fullstack Software Engineer,<https://himalayas.app/companies/siena-ai/jobs/fullstack-software-engineer>,himalayas,"Remote / Argentina, Brazil, Ireland, Poland, Portugal, Romania, Serbia, United Kingdom",Brazil-friendly remote,brazil_friendly,Mid-level / Pleno,aws; reactjs; microservices; node; architecture; cloud; backend; api,2026-04-25T11:26:10.000Z
18,Excelente,100,Red Hat,"Full Stack Software Engineer - Red Hat Discovery (Remote, Brazil)",<https://himalayas.app/companies/red-hat/jobs/full-stack-software-engineer-red-hat-discovery-remote-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Mid-level / Pleno,javascript; typescript; reactjs; postgres; kubernetes; cloud; backend; api; python; java,2026-05-01T17:39:59.000Z
